wavelength_nm,irradiance_w_m2_nm
1190.0,0.44124
1191.0,0.42638
1192.0,0.45171
1193.0,0.4337
1194.0,0.44751
1195.0,0.42671
1196.0,0.41188
1197.0,0.45527
1198.0,0.41426
1199.0,0.34869
1200.0,0.42789
1201.0,0.41735
1202.0,0.41743
1203.0,0.41441
1204.0,0.34645
1205.0,0.41714
1206.0,0.45872
1207.0,0.41044
1208.0,0.41379
1209.0,0.39548
1210.0,0.43267
1211.0,0.40319
1212.0,0.40572
1213.0,0.44804
1214.0,0.41443
1215.0,0.40851
1216.0,0.44509
1217.0,0.43457
1218.0,0.43842
1219.0,0.42639
1220.0,0.43724
1221.0,0.44413
1222.0,0.43096
1223.0,0.424
1224.0,0.42788
1225.0,0.44141
1226.0,0.44696
1227.0,0.4136
1228.0,0.44544
1229.0,0.44608
1230.0,0.43928
1231.0,0.45067
1232.0,0.44525
1233.0,0.43359
1234.0,0.44893
1235.0,0.44409
1236.0,0.44795
1237.0,0.44259
1238.0,0.44694
1239.0,0.44194
1240.0,0.44011
1241.0,0.4413
1242.0,0.44179
1243.0,0.43712
1244.0,0.43499
1245.0,0.43622
1246.0,0.43902
1247.0,0.43715
1248.0,0.43828
1249.0,0.4393
1250.0,0.43684
1251.0,0.4326
1252.0,0.43106
1253.0,0.42803
1254.0,0.42416
1255.0,0.43088
1256.0,0.42096
1257.0,0.4163
1258.0,0.42549
1259.0,0.40868
1260.0,0.41235
1261.0,0.39371
1262.0,0.37867
1263.0,0.383
1264.0,0.35568
1265.0,0.37871
1266.0,0.36881
1267.0,0.37159
1268.0,0.35475
1269.0,0.23656
1270.0,0.37087
1271.0,0.39062
1272.0,0.39114
1273.0,0.38874
1274.0,0.38864
1275.0,0.39455
1276.0,0.39895
1277.0,0.40191
1278.0,0.40916
1279.0,0.40626
1280.0,0.40387
1281.0,0.39554
1282.0,0.35695
1283.0,0.38978
1284.0,0.40268
1285.0,0.40577
1286.0,0.40878
1287.0,0.40405
1288.0,0.40192
1289.0,0.39194
1290.0,0.39522
1291.0,0.40004
1292.0,0.37946
1293.0,0.39506
1294.0,0.38709
1295.0,0.38801
1296.0,0.37322
1297.0,0.35583
1298.0,0.37536
1299.0,0.39127
1300.0,0.33855
1301.0,0.34728
1302.0,0.37539
1303.0,0.33197
1304.0,0.28849
1305.0,0.36783
1306.0,0.36853
1307.0,0.29362
1308.0,0.33277
1309.0,0.36822
1310.0,0.28908
1311.0,0.32012
1312.0,0.31986
1313.0,0.30089
1314.0,0.2769
1315.0,0.27447
1316.0,0.31113
1317.0,0.29969
1318.0,0.31984
1319.0,0.25803
1320.0,0.24864
1321.0,0.28684
1322.0,0.29023
1323.0,0.22386
1324.0,0.25231
1325.0,0.30943
1326.0,0.26956
1327.0,0.25593
1328.0,0.22555
1329.0,0.17097
1330.0,0.22052
1331.0,0.13951
1332.0,0.14046
1333.0,0.19545
1334.0,0.16302
1335.0,0.22244
1336.0,0.1767
1337.0,0.15852
1338.0,0.17151
1339.0,0.17033
1340.0,0.16216
1341.0,0.16419
1342.0,0.17149
1343.0,0.12259
1344.0,0.073018
1345.0,0.10521
1346.0,0.056189
1347.0,0.058058
1348.0,0.0045862
1349.0,0.015617
1350.0,0.015488
1351.0,0.0044759
1352.0,0.0014661
1353.0,9.2918e-05
1354.0,0.00028051
1355.0,3.4847e-06
1356.0,4.6489e-05
1357.0,6.9429e-05
1358.0,4.0575e-06
1359.0,7.104e-07
1360.0,2.0706e-06
1361.0,4.6566e-09
1362.0,1.7489e-11
1363.0,3.054e-06
1364.0,1.315e-06
1365.0,8.7833e-12
1366.0,1.2379e-05
1367.0,4.8161e-06
1368.0,1.4311e-13
1369.0,5.0008e-07
1370.0,2.8266e-07
1371.0,1.9101e-08
1372.0,2.6623e-06
1373.0,4.2991e-05
1374.0,0.0001735
1375.0,0.00031309
1376.0,0.00024935
1377.0,0.00011883
1378.0,0.0010741
1379.0,5.0533e-05
1380.0,7.9042e-05
1381.0,2.2978e-06
1382.0,2.4874e-06
1383.0,4.2653e-08
1384.0,5.9782e-07
1385.0,2.0255e-06
1386.0,2.4441e-06
1387.0,0.00019288
1388.0,3.9037e-06
1389.0,0.00056338
1390.0,0.00047836
1391.0,0.00033345
1392.0,2.3065e-05
1393.0,0.00011238
1394.0,7.3268e-05
1395.0,6.5137e-07
1396.0,6.1338e-09
1397.0,4.7605e-05
1398.0,0.0012329
1399.0,0.00078835
1400.0,3.1513e-09
1401.0,1.0219e-08
1402.0,0.0017817
1403.0,0.0023108
1404.0,0.00071755
1405.0,3.5395e-07
1406.0,0.0019861
1407.0,0.00016957
1408.0,0.0016023
1409.0,0.00060159
1410.0,0.00045332
1411.0,0.0020544
1412.0,0.002565
1413.0,0.02269
1414.0,0.00035359
1415.0,0.00017854
1416.0,0.034561
1417.0,0.011431
1418.0,0.013182
1419.0,0.0020851
1420.0,0.0080437
1421.0,0.0089117
1422.0,0.045023
1423.0,0.0089676
1424.0,0.016511
1425.0,0.025142
1426.0,0.027032
1427.0,0.04818
1428.0,0.004436
1429.0,0.036985
1430.0,0.059912
1431.0,0.048792
1432.0,0.0024524
1433.0,0.03487
1434.0,0.020403
1435.0,0.020847
1436.0,0.037326
1437.0,0.029085
1438.0,0.012913
1439.0,0.049672
1440.0,0.038547
1441.0,0.030959
1442.0,0.035356
1443.0,0.043868
1444.0,0.060143
1445.0,0.048434
1446.0,0.022492
1447.0,0.035265
1448.0,0.11254
1449.0,0.099374
1450.0,0.026699
1451.0,0.01098
1452.0,0.060718
1453.0,0.079803
1454.0,0.13384
1455.0,0.064409
1456.0,0.086158
1457.0,0.11386
1458.0,0.13273
1459.0,0.1586
1460.0,0.083161
1461.0,0.087886
1462.0,0.12708
1463.0,0.042106
1464.0,0.1477
1465.0,0.090911
1466.0,0.063498
1467.0,0.035128
1468.0,0.074928
1469.0,0.092344
1470.0,0.048397
1471.0,0.017394
1472.0,0.045566
1473.0,0.068368
1474.0,0.094765
1475.0,0.17954
1476.0,0.066987
1477.0,0.067916
1478.0,0.061825
1479.0,0.1168
1480.0,0.059063
1481.0,0.11221
1482.0,0.056967
1483.0,0.14454
1484.0,0.13375
1485.0,0.12168
1486.0,0.12008
1487.0,0.059042
1488.0,0.091654
1489.0,0.18443
1490.0,0.16993
1491.0,0.19222
1492.0,0.15986
1493.0,0.17651
1494.0,0.19794
1495.0,0.17745
1496.0,0.16385
1497.0,0.22198
1498.0,0.18437
1499.0,0.21141
1500.0,0.24339
1501.0,0.25782
1502.0,0.22688
1503.0,0.17972
1504.0,0.15586
1505.0,0.17885
1506.0,0.25026
1507.0,0.24779
1508.0,0.23606
1509.0,0.18169
1510.0,0.26269
1511.0,0.2571
1512.0,0.25315
1513.0,0.23544
1514.0,0.2193
1515.0,0.25804
1516.0,0.24943
1517.0,0.24214
1518.0,0.24489
1519.0,0.23739
1520.0,0.25688
1521.0,0.26707
1522.0,0.25617
1523.0,0.27192
1524.0,0.26743
1525.0,0.2514
1526.0,0.25977
1527.0,0.25468
1528.0,0.27122
1529.0,0.2646
1530.0,0.24789
1531.0,0.262
1532.0,0.27039
1533.0,0.26918
1534.0,0.26122
1535.0,0.25924
1536.0,0.26679
1537.0,0.26558
1538.0,0.26427
1539.0,0.26519
1540.0,0.25737
1541.0,0.26141
1542.0,0.26165
1543.0,0.26439
1544.0,0.26443
1545.0,0.26922
1546.0,0.26705
1547.0,0.26537
1548.0,0.2592
1549.0,0.26568
1550.0,0.26226
1551.0,0.26293
1552.0,0.26415
1553.0,0.26366
1554.0,0.25727
1555.0,0.26005
1556.0,0.25569
1557.0,0.26301
1558.0,0.26093
1559.0,0.26054
1560.0,0.25821
1561.0,0.26242
1562.0,0.26003
1563.0,0.25917
1564.0,0.25525
1565.0,0.25975
1566.0,0.25506
1567.0,0.25566
1568.0,0.24997
1569.0,0.24736
1570.0,0.23497
1571.0,0.2285
1572.0,0.23108
1573.0,0.2275
1574.0,0.23464
1575.0,0.23294
1576.0,0.2398
1577.0,0.20994
1578.0,0.22854
1579.0,0.23005
1580.0,0.23772
1581.0,0.24165
1582.0,0.23508
1583.0,0.24051
1584.0,0.24194
1585.0,0.25135
1586.0,0.24838
1587.0,0.24579
1588.0,0.24388
1589.0,0.22567
1590.0,0.23486
1591.0,0.23503
1592.0,0.24502
1593.0,0.25092
1594.0,0.2489
1595.0,0.25083
1596.0,0.23751
1597.0,0.23985
1598.0,0.24693
1599.0,0.23511
1600.0,0.23133
1601.0,0.21691
1602.0,0.2178
1603.0,0.21765
1604.0,0.22197
1605.0,0.2301
1606.0,0.23453
1607.0,0.22637
1608.0,0.22343
1609.0,0.22088
1610.0,0.21146
